id,IBGE6,NU_ANO,CASOS,POPULACAO,Município,ID_MN_RESI_MAP,INCIDENCIA
410010_2001,410010,2001,0,8374,Abatiá,Abatiá,0
410010_2002,410010,2002,1,8315,Abatiá,Abatiá,12.0264582080577
410010_2003,410010,2003,0,8260,Abatiá,Abatiá,0
410010_2004,410010,2004,0,8208,Abatiá,Abatiá,0
410010_2005,410010,2005,0,8156,Abatiá,Abatiá,0
410010_2006,410010,2006,0,8106,Abatiá,Abatiá,0
410010_2007,410010,2007,1,8059,Abatiá,Abatiá,12.4084874053853
410010_2008,410010,2008,0,8013,Abatiá,Abatiá,0
410010_2009,410010,2009,0,7966,Abatiá,Abatiá,0
410010_2010,410010,2010,0,7919,Abatiá,Abatiá,0
410010_2011,410010,2011,0,7869,Abatiá,Abatiá,0
410010_2012,410010,2012,1,7819,Abatiá,Abatiá,12.7893592531014
410010_2013,410010,2013,1,7768,Abatiá,Abatiá,12.8733264675592
410010_2014,410010,2014,1,7715,Abatiá,Abatiá,12.9617627997408
410010_2015,410010,2015,0,7661,Abatiá,Abatiá,0
410010_2016,410010,2016,3,7609,Abatiá,Abatiá,39.4269943487975
410010_2017,410010,2017,0,7559,Abatiá,Abatiá,0
410010_2018,410010,2018,0,7507,Abatiá,Abatiá,0
410010_2019,410010,2019,2,7457,Abatiá,Abatiá,26.8204371731259
410010_2020,410010,2020,0,7408,Abatiá,Abatiá,0
410010_2021,410010,2021,0,7360,Abatiá,Abatiá,0
410020_2001,410020,2001,0,7078,Adrianópolis,Adrianópolis,0
410020_2002,410020,2002,1,7003,Adrianópolis,Adrianópolis,14.2795944595173
410020_2003,410020,2003,0,6933,Adrianópolis,Adrianópolis,0
410020_2004,410020,2004,1,6868,Adrianópolis,Adrianópolis,14.5602795573675
410020_2005,410020,2005,6,6803,Adrianópolis,Adrianópolis,88.1963839482581
410020_2006,410020,2006,4,6739,Adrianópolis,Adrianópolis,59.3559875352426
410020_2007,410020,2007,7,6680,Adrianópolis,Adrianópolis,104.790419161677
410020_2008,410020,2008,4,6621,Adrianópolis,Adrianópolis,60.4138347681619
410020_2009,410020,2009,3,6562,Adrianópolis,Adrianópolis,45.7177689728741
410020_2010,410020,2010,3,6503,Adrianópolis,Adrianópolis,46.1325542057512
410020_2011,410020,2011,0,6440,Adrianópolis,Adrianópolis,0
410020_2012,410020,2012,1,6377,Adrianópolis,Adrianópolis,15.6813548690607
410020_2013,410020,2013,1,6312,Adrianópolis,Adrianópolis,15.8428390367554
410020_2014,410020,2014,1,6245,Adrianópolis,Adrianópolis,16.0128102481986
410020_2015,410020,2015,0,6177,Adrianópolis,Adrianópolis,0
410020_2016,410020,2016,0,6112,Adrianópolis,Adrianópolis,0
410020_2017,410020,2017,0,6048,Adrianópolis,Adrianópolis,0
410020_2018,410020,2018,0,5983,Adrianópolis,Adrianópolis,0
410020_2019,410020,2019,0,5919,Adrianópolis,Adrianópolis,0
410020_2020,410020,2020,0,5857,Adrianópolis,Adrianópolis,0
410020_2021,410020,2021,0,5797,Adrianópolis,Adrianópolis,0
410030_2001,410030,2001,0,7513,Agudos do Sul,Agudos do Sul,0
410030_2002,410030,2002,0,7634,Agudos do Sul,Agudos do Sul,0
410030_2003,410030,2003,0,7745,Agudos do Sul,Agudos do Sul,0
410030_2004,410030,2004,0,7849,Agudos do Sul,Agudos do Sul,0
410030_2005,410030,2005,1,7954,Agudos do Sul,Agudos do Sul,12.5722906713603
410030_2006,410030,2006,0,8057,Agudos do Sul,Agudos do Sul,0
410030_2007,410030,2007,0,8151,Agudos do Sul,Agudos do Sul,0
410030_2008,410030,2008,1,8245,Agudos do Sul,Agudos do Sul,12.1285627653123
410030_2009,410030,2009,0,8341,Agudos do Sul,Agudos do Sul,0
410030_2010,410030,2010,2,8435,Agudos do Sul,Agudos do Sul,23.71072910492
410030_2011,410030,2011,1,8537,Agudos do Sul,Agudos do Sul,11.7137167623287
410030_2012,410030,2012,0,8638,Agudos do Sul,Agudos do Sul,0
410030_2013,410030,2013,0,8741,Agudos do Sul,Agudos do Sul,0
410030_2014,410030,2014,0,8848,Agudos do Sul,Agudos do Sul,0
410030_2015,410030,2015,0,8958,Agudos do Sul,Agudos do Sul,0
410030_2016,410030,2016,1,9062,Agudos do Sul,Agudos do Sul,11.0350915912602
410030_2017,410030,2017,1,9165,Agudos do Sul,Agudos do Sul,10.911074740862
410030_2018,410030,2018,2,9269,Agudos do Sul,Agudos do Sul,21.577300679685
410030_2019,410030,2019,6,9371,Agudos do Sul,Agudos do Sul,64.0273183224843
410030_2020,410030,2020,0,9470,Agudos do Sul,Agudos do Sul,0
410030_2021,410030,2021,2,9567,Agudos do Sul,Agudos do Sul,20.9051949409428
410040_2001,410040,2001,28,92113,Almirante Tamandaré,Almirante Tamandaré,30.3974466144844
410040_2002,410040,2002,47,93835,Almirante Tamandaré,Almirante Tamandaré,50.0879202856077
410040_2003,410040,2003,34,95421,Almirante Tamandaré,Almirante Tamandaré,35.6315695706396
410040_2004,410040,2004,32,96913,Almirante Tamandaré,Almirante Tamandaré,33.0193059754625
410040_2005,410040,2005,31,98408,Almirante Tamandaré,Almirante Tamandaré,31.5015039427689
410040_2006,410040,2006,11,99867,Almirante Tamandaré,Almirante Tamandaré,11.0146494838135
410040_2007,410040,2007,37,101219,Almirante Tamandaré,Almirante Tamandaré,36.5544018415515
410040_2008,410040,2008,36,102558,Almirante Tamandaré,Almirante Tamandaré,35.1020885742702
410040_2009,410040,2009,27,103922,Almirante Tamandaré,Almirante Tamandaré,25.9810242297107
410040_2010,410040,2010,36,105267,Almirante Tamandaré,Almirante Tamandaré,34.1987517455613
410040_2011,410040,2011,23,106717,Almirante Tamandaré,Almirante Tamandaré,21.552329994284
410040_2012,410040,2012,23,108157,Almirante Tamandaré,Almirante Tamandaré,21.2653827306601
410040_2013,410040,2013,28,109629,Almirante Tamandaré,Almirante Tamandaré,25.5406872269199
410040_2014,410040,2014,17,111164,Almirante Tamandaré,Almirante Tamandaré,15.2927206649635
410040_2015,410040,2015,24,112722,Almirante Tamandaré,Almirante Tamandaré,21.2913184648959
410040_2016,410040,2016,17,114213,Almirante Tamandaré,Almirante Tamandaré,14.8844702441929
410040_2017,410040,2017,19,115679,Almirante Tamandaré,Almirante Tamandaré,16.4247616248412
410040_2018,410040,2018,25,117168,Almirante Tamandaré,Almirante Tamandaré,21.3368837907961
410040_2019,410040,2019,23,118623,Almirante Tamandaré,Almirante Tamandaré,19.3891572460653
410040_2020,410040,2020,18,120041,Almirante Tamandaré,Almirante Tamandaré,14.9948767504436
410040_2021,410040,2021,10,121420,Almirante Tamandaré,Almirante Tamandaré,8.23587547356284
410045_2001,410045,2001,0,6805,Altamira do Paraná,Altamira do Paraná,0
410045_2002,410045,2002,0,6489,Altamira do Paraná,Altamira do Paraná,0
410045_2003,410045,2003,0,6198,Altamira do Paraná,Altamira do Paraná,0
410045_2004,410045,2004,0,5924,Altamira do Paraná,Altamira do Paraná,0
410045_2005,410045,2005,0,5650,Altamira do Paraná,Altamira do Paraná,0
410045_2006,410045,2006,0,5383,Altamira do Paraná,Altamira do Paraná,0
410045_2007,410045,2007,0,5135,Altamira do Paraná,Altamira do Paraná,0
410045_2008,410045,2008,0,4889,Altamira do Paraná,Altamira do Paraná,0
410045_2009,410045,2009,1,4639,Altamira do Paraná,Altamira do Paraná,21.5563699073076
410045_2010,410045,2010,0,4392,Altamira do Paraná,Altamira do Paraná,0
410045_2011,410045,2011,0,4126,Altamira do Paraná,Altamira do Paraná,0
410045_2012,410045,2012,0,3862,Altamira do Paraná,Altamira do Paraná,0
410045_2013,410045,2013,0,3592,Altamira do Paraná,Altamira do Paraná,0
410045_2014,410045,2014,0,3310,Altamira do Paraná,Altamira do Paraná,0
410045_2015,410045,2015,0,3024,Altamira do Paraná,Altamira do Paraná,0
410045_2016,410045,2016,0,2751,Altamira do Paraná,Altamira do Paraná,0
410045_2017,410045,2017,0,2482,Altamira do Paraná,Altamira do Paraná,0
410045_2018,410045,2018,0,2209,Altamira do Paraná,Altamira do Paraná,0
410045_2019,410045,2019,0,1942,Altamira do Paraná,Altamira do Paraná,0
410045_2020,410045,2020,0,1682,Altamira do Paraná,Altamira do Paraná,0
410045_2021,410045,2021,0,1429,Altamira do Paraná,Altamira do Paraná,0
410050_2001,410050,2001,1,19813,Altônia,Altônia,5.04719123807601
410050_2002,410050,2002,1,19958,Altônia,Altônia,5.01052209640245
410050_2003,410050,2003,4,20093,Altônia,Altônia,19.9074304484149
410050_2004,410050,2004,10,20219,Altônia,Altônia,49.4584301894258
410050_2005,410050,2005,6,20345,Altônia,Altônia,29.4912754976653
410050_2006,410050,2006,2,20469,Altônia,Altônia,9.77087302750501
410050_2007,410050,2007,8,20583,Altônia,Altônia,38.8670261866589
410050_2008,410050,2008,15,20697,Altônia,Altônia,72.4742716335701
410050_2009,410050,2009,4,20812,Altônia,Altônia,19.2196809532962
410050_2010,410050,2010,3,20926,Altônia,Altônia,14.3362324381153
410050_2011,410050,2011,3,21049,Altônia,Altônia,14.2524585490997
410050_2012,410050,2012,4,21171,Altônia,Altônia,18.8937697794152
410050_2013,410050,2013,7,21295,Altônia,Altônia,32.8715660953275
410050_2014,410050,2014,3,21425,Altônia,Altônia,14.002333722287
410050_2015,410050,2015,7,21557,Altônia,Altônia,32.4720508419539
410050_2016,410050,2016,10,21683,Altônia,Altônia,46.1190794631739
410050_2017,410050,2017,6,21807,Altônia,Altônia,27.5141009767506
410050_2018,410050,2018,8,21933,Altônia,Altônia,36.4747184607669
410050_2019,410050,2019,6,22056,Altônia,Altônia,27.2034820457019
410050_2020,410050,2020,3,22176,Altônia,Altônia,13.5281385281385
410050_2021,410050,2021,4,22293,Altônia,Altônia,17.942852016328
410060_2001,410060,2001,3,13115,Alto Paraná,Alto Paraná,22.8745711017918
410060_2002,410060,2002,1,13222,Alto Paraná,Alto Paraná,7.56315232188776
410060_2003,410060,2003,2,13321,Alto Paraná,Alto Paraná,15.0138878462578
410060_2004,410060,2004,1,13414,Alto Paraná,Alto Paraná,7.45489786789921
410060_2005,410060,2005,0,13508,Alto Paraná,Alto Paraná,0
410060_2006,410060,2006,2,13599,Alto Paraná,Alto Paraná,14.7069637473344
410060_2007,410060,2007,1,13683,Alto Paraná,Alto Paraná,7.30833881458744
410060_2008,410060,2008,3,13767,Alto Paraná,Alto Paraná,21.7912399215515
410060_2009,410060,2009,5,13852,Alto Paraná,Alto Paraná,36.0958706323997
410060_2010,410060,2010,3,13936,Alto Paraná,Alto Paraná,21.5269804822044
410060_2011,410060,2011,2,14027,Alto Paraná,Alto Paraná,14.2582162971412
410060_2012,410060,2012,3,14116,Alto Paraná,Alto Paraná,21.2524794559365
410060_2013,410060,2013,0,14208,Alto Paraná,Alto Paraná,0
410060_2014,410060,2014,2,14304,Alto Paraná,Alto Paraná,13.9821029082774
410060_2015,410060,2015,2,14402,Alto Paraná,Alto Paraná,13.8869601444244
410060_2016,410060,2016,1,14495,Alto Paraná,Alto Paraná,6.89893066574681
410060_2017,410060,2017,6,14586,Alto Paraná,Alto Paraná,41.1353352529823
410060_2018,410060,2018,3,14679,Alto Paraná,Alto Paraná,20.4373594931535
410060_2019,410060,2019,2,14770,Alto Paraná,Alto Paraná,13.54096140826
410060_2020,410060,2020,5,14859,Alto Paraná,Alto Paraná,33.6496399488525
410060_2021,410060,2021,2,14945,Alto Paraná,Alto Paraná,13.3824021411843
410070_2001,410070,2001,5,10919,Alto Piquiri,Alto Piquiri,45.7917391702537
410070_2002,410070,2002,8,10849,Alto Piquiri,Alto Piquiri,73.7395151626878
410070_2003,410070,2003,5,10784,Alto Piquiri,Alto Piquiri,46.3649851632048
410070_2004,410070,2004,6,10723,Alto Piquiri,Alto Piquiri,55.9544903478504
410070_2005,410070,2005,9,10662,Alto Piquiri,Alto Piquiri,84.411930219471
410070_2006,410070,2006,2,10603,Alto Piquiri,Alto Piquiri,18.8625860605489
410070_2007,410070,2007,2,10547,Alto Piquiri,Alto Piquiri,18.9627382193989
410070_2008,410070,2008,4,10493,Alto Piquiri,Alto Piquiri,38.1206518631469
410070_2009,410070,2009,0,10437,Alto Piquiri,Alto Piquiri,0
410070_2010,410070,2010,2,10382,Alto Piquiri,Alto Piquiri,19.2641109612791
410070_2011,410070,2011,3,10323,Alto Piquiri,Alto Piquiri,29.0613193839
410070_2012,410070,2012,4,10264,Alto Piquiri,Alto Piquiri,38.971161340608
410070_2013,410070,2013,6,10204,Alto Piquiri,Alto Piquiri,58.8004704037632
410070_2014,410070,2014,6,10141,Alto Piquiri,Alto Piquiri,59.1657627452914
410070_2015,410070,2015,1,10077,Alto Piquiri,Alto Piquiri,9.92358836955443
410070_2016,410070,2016,0,10016,Alto Piquiri,Alto Piquiri,0
410070_2017,410070,2017,5,9957,Alto Piquiri,Alto Piquiri,50.2159284925178
410070_2018,410070,2018,1,9896,Alto Piquiri,Alto Piquiri,10.1050929668553
410070_2019,410070,2019,3,9836,Alto Piquiri,Alto Piquiri,30.5002033346889
410070_2020,410070,2020,0,9778,Alto Piquiri,Alto Piquiri,0
410070_2021,410070,2021,0,9722,Alto Piquiri,Alto Piquiri,0
410080_2001,410080,2001,0,9586,Alvorada do Sul,Alvorada do Sul,0
410080_2002,410080,2002,2,9704,Alvorada do Sul,Alvorada do Sul,20.6100577081616
410080_2003,410080,2003,3,9813,Alvorada do Sul,Alvorada do Sul,30.571690614491
410080_2004,410080,2004,0,9916,Alvorada do Sul,Alvorada do Sul,0
410080_2005,410080,2005,1,10018,Alvorada do Sul,Alvorada do Sul,9.98203234178479
410080_2006,410080,2006,2,10118,Alvorada do Sul,Alvorada do Sul,19.7667523225934
410080_2007,410080,2007,0,10211,Alvorada do Sul,Alvorada do Sul,0
410080_2008,410080,2008,3,10303,Alvorada do Sul,Alvorada do Sul,29.1177326992138
410080_2009,410080,2009,2,10397,Alvorada do Sul,Alvorada do Sul,19.2363181687025
410080_2010,410080,2010,0,10489,Alvorada do Sul,Alvorada do Sul,0
410080_2011,410080,2011,2,10589,Alvorada do Sul,Alvorada do Sul,18.8875247898763
410080_2012,410080,2012,0,10687,Alvorada do Sul,Alvorada do Sul,0
410080_2013,410080,2013,3,10788,Alvorada do Sul,Alvorada do Sul,27.8086763070078
410080_2014,410080,2014,3,10894,Alvorada do Sul,Alvorada do Sul,27.53809436387
410080_2015,410080,2015,0,11001,Alvorada do Sul,Alvorada do Sul,0
410080_2016,410080,2016,1,11103,Alvorada do Sul,Alvorada do Sul,9.00657479960371
410080_2017,410080,2017,2,11204,Alvorada do Sul,Alvorada do Sul,17.8507675830061
410080_2018,410080,2018,4,11306,Alvorada do Sul,Alvorada do Sul,35.3794445427207
410080_2019,410080,2019,0,11406,Alvorada do Sul,Alvorada do Sul,0
410080_2020,410080,2020,2,11503,Alvorada do Sul,Alvorada do Sul,17.3867686690429
410080_2021,410080,2021,0,11598,Alvorada do Sul,Alvorada do Sul,0
410090_2001,410090,2001,1,4857,Amaporã,Amaporã,20.5888408482602
410090_2002,410090,2002,0,4948,Amaporã,Amaporã,0
410090_2003,410090,2003,0,5032,Amaporã,Amaporã,0
410090_2004,410090,2004,0,5111,Amaporã,Amaporã,0
410090_2005,410090,2005,2,5190,Amaporã,Amaporã,38.5356454720617
410090_2006,410090,2006,0,5267,Amaporã,Amaporã,0
410090_2007,410090,2007,1,5338,Amaporã,Amaporã,18.7336080929187
410090_2008,410090,2008,0,5409,Amaporã,Amaporã,0
410090_2009,410090,2009,0,5481,Amaporã,Amaporã,0
410090_2010,410090,2010,0,5552,Amaporã,Amaporã,0
410090_2011,410090,2011,0,5629,Amaporã,Amaporã,0
410090_2012,410090,2012,0,5705,Amaporã,Amaporã,0
410090_2013,410090,2013,0,5782,Amaporã,Amaporã,0
410090_2014,410090,2014,1,5863,Amaporã,Amaporã,17.0561146170902
410090_2015,410090,2015,0,5946,Amaporã,Amaporã,0
410090_2016,410090,2016,2,6025,Amaporã,Amaporã,33.195020746888
410090_2017,410090,2017,0,6102,Amaporã,Amaporã,0
410090_2018,410090,2018,0,6181,Amaporã,Amaporã,0
410090_2019,410090,2019,1,6257,Amaporã,Amaporã,15.9821000479463
410090_2020,410090,2020,2,6332,Amaporã,Amaporã,31.5855969677827
410090_2021,410090,2021,2,6405,Amaporã,Amaporã,31.2256049960968
410100_2001,410100,2001,1,16179,Ampére,Ampére,6.1808517213672
410100_2002,410100,2002,0,16372,Ampére,Ampére,0
410100_2003,410100,2003,1,16550,Ampére,Ampére,6.04229607250755
410100_2004,410100,2004,0,16717,Ampére,Ampére,0
410100_2005,410100,2005,1,16885,Ampére,Ampére,5.92241634586911
410100_2006,410100,2006,5,17048,Ampére,Ampére,29.3289535429376
410100_2007,410100,2007,0,17200,Ampére,Ampére,0
410100_2008,410100,2008,3,17350,Ampére,Ampére,17.2910662824208
410100_2009,410100,2009,0,17503,Ampére,Ampére,0
410100_2010,410100,2010,1,17654,Ampére,Ampére,5.66443865412938
410100_2011,410100,2011,0,17817,Ampére,Ampére,0
410100_2012,410100,2012,1,17978,Ampére,Ampére,5.56235398820781
410100_2013,410100,2013,2,18143,Ampére,Ampére,11.023535247754
410100_2014,410100,2014,2,18315,Ampére,Ampére,10.9200109200109
410100_2015,410100,2015,4,18490,Ampére,Ampére,21.6333153055706
410100_2016,410100,2016,0,18657,Ampére,Ampére,0
410100_2017,410100,2017,1,18822,Ampére,Ampére,5.31293167569865
410100_2018,410100,2018,3,18989,Ampére,Ampére,15.7986202538312
410100_2019,410100,2019,0,19152,Ampére,Ampére,0
410100_2020,410100,2020,0,19311,Ampére,Ampére,0
410100_2021,410100,2021,1,19466,Ampére,Ampére,5.13716223158327
410105_2001,410105,2001,0,3059,Anahy,Anahy,0
410105_2002,410105,2002,1,3042,Anahy,Anahy,32.8731097961867
410105_2003,410105,2003,2,3026,Anahy,Anahy,66.0938532716457
410105_2004,410105,2004,1,3012,Anahy,Anahy,33.2005312084993
410105_2005,410105,2005,0,2998,Anahy,Anahy,0
410105_2006,410105,2006,0,2983,Anahy,Anahy,0
410105_2007,410105,2007,0,2970,Anahy,Anahy,0
410105_2008,410105,2008,0,2957,Anahy,Anahy,0
410105_2009,410105,2009,0,2944,Anahy,Anahy,0
410105_2010,410105,2010,0,2931,Anahy,Anahy,0
410105_2011,410105,2011,0,2917,Anahy,Anahy,0
410105_2012,410105,2012,0,2903,Anahy,Anahy,0
410105_2013,410105,2013,0,2889,Anahy,Anahy,0
410105_2014,410105,2014,0,2874,Anahy,Anahy,0
410105_2015,410105,2015,0,2859,Anahy,Anahy,0
410105_2016,410105,2016,0,2844,Anahy,Anahy,0
410105_2017,410105,2017,0,2830,Anahy,Anahy,0
410105_2018,410105,2018,0,2816,Anahy,Anahy,0
410105_2019,410105,2019,0,2801,Anahy,Anahy,0
410105_2020,410105,2020,0,2788,Anahy,Anahy,0
410105_2021,410105,2021,1,2774,Anahy,Anahy,36.0490266762797
410110_2001,410110,2001,14,21998,Andirá,Andirá,63.6421492862988
410110_2002,410110,2002,6,21870,Andirá,Andirá,27.4348422496571
410110_2003,410110,2003,4,21753,Andirá,Andirá,18.3882682848343
410110_2004,410110,2004,5,21642,Andirá,Andirá,23.1032252102394
410110_2005,410110,2005,7,21531,Andirá,Andirá,32.5112628303377
410110_2006,410110,2006,7,21423,Andirá,Andirá,32.675162208841
410110_2007,410110,2007,10,21322,Andirá,Andirá,46.899915580152
410110_2008,410110,2008,7,21223,Andirá,Andirá,32.9830843895773
410110_2009,410110,2009,7,21122,Andirá,Andirá,33.1408010605056
410110_2010,410110,2010,9,21022,Andirá,Andirá,42.8122918846922
410110_2011,410110,2011,13,20914,Andirá,Andirá,62.1593191163814
410110_2012,410110,2012,4,20808,Andirá,Andirá,19.2233756247597
410110_2013,410110,2013,7,20698,Andirá,Andirá,33.8196927239347
410110_2014,410110,2014,9,20584,Andirá,Andirá,43.7232802176448
410110_2015,410110,2015,6,20469,Andirá,Andirá,29.312619082515
410110_2016,410110,2016,1,20358,Andirá,Andirá,4.91207387759112
410110_2017,410110,2017,2,20249,Andirá,Andirá,9.87703096449207
410110_2018,410110,2018,5,20139,Andirá,Andirá,24.8274492278663
410110_2019,410110,2019,5,20031,Andirá,Andirá,24.9613099695472
410110_2020,410110,2020,4,19926,Andirá,Andirá,20.0742748168222
410110_2021,410110,2021,2,19823,Andirá,Andirá,10.0892902184331
410115_2001,410115,2001,0,2904,Ângulo,Ângulo,0
410115_2002,410115,2002,0,2905,Ângulo,Ângulo,0
410115_2003,410115,2003,0,2907,Ângulo,Ângulo,0
410115_2004,410115,2004,0,2908,Ângulo,Ângulo,0
410115_2005,410115,2005,0,2910,Ângulo,Ângulo,0
410115_2006,410115,2006,0,2911,Ângulo,Ângulo,0
410115_2007,410115,2007,0,2912,Ângulo,Ângulo,0
410115_2008,410115,2008,0,2913,Ângulo,Ângulo,0
410115_2009,410115,2009,1,2915,Ângulo,Ângulo,34.3053173241852
410115_2010,410115,2010,0,2916,Ângulo,Ângulo,0
410115_2011,410115,2011,0,2917,Ângulo,Ângulo,0
410115_2012,410115,2012,0,2919,Ângulo,Ângulo,0
410115_2013,410115,2013,0,2920,Ângulo,Ângulo,0
410115_2014,410115,2014,0,2921,Ângulo,Ângulo,0
410115_2015,410115,2015,0,2923,Ângulo,Ângulo,0
410115_2016,410115,2016,0,2924,Ângulo,Ângulo,0
410115_2017,410115,2017,0,2926,Ângulo,Ângulo,0
410115_2018,410115,2018,0,2927,Ângulo,Ângulo,0
410115_2019,410115,2019,0,2928,Ângulo,Ângulo,0
410115_2020,410115,2020,1,2930,Ângulo,Ângulo,34.1296928327645
410115_2021,410115,2021,0,2931,Ângulo,Ângulo,0
410120_2001,410120,2001,6,19554,Antonina,Antonina,30.6842589751458
410120_2002,410120,2002,7,19517,Antonina,Antonina,35.8661679561408
410120_2003,410120,2003,12,19482,Antonina,Antonina,61.5953187557746
410120_2004,410120,2004,7,19450,Antonina,Antonina,35.9897172236504
410120_2005,410120,2005,5,19418,Antonina,Antonina,25.7493047687712
410120_2006,410120,2006,11,19386,Antonina,Antonina,56.7419787475498
410120_2007,410120,2007,19,19357,Antonina,Antonina,98.1557059461694
410120_2008,410120,2008,10,19328,Antonina,Antonina,51.7384105960265
410120_2009,410120,2009,13,19298,Antonina,Antonina,67.3644937299202
410120_2010,410120,2010,12,19269,Antonina,Antonina,62.2761949244901
410120_2011,410120,2011,7,19238,Antonina,Antonina,36.3863187441522
410120_2012,410120,2012,11,19206,Antonina,Antonina,57.2737686139748
410120_2013,410120,2013,8,19175,Antonina,Antonina,41.7209908735333
410120_2014,410120,2014,12,19141,Antonina,Antonina,62.6926492868711
410120_2015,410120,2015,9,19108,Antonina,Antonina,47.1006908101319
410120_2016,410120,2016,12,19075,Antonina,Antonina,62.9095674967235
410120_2017,410120,2017,6,19043,Antonina,Antonina,31.5076406028462
410120_2018,410120,2018,10,19011,Antonina,Antonina,52.6011256640892
410120_2019,410120,2019,9,18980,Antonina,Antonina,47.418335089568
410120_2020,410120,2020,5,18949,Antonina,Antonina,26.3866167080057
410120_2021,410120,2021,5,18919,Antonina,Antonina,26.4284581637507
410130_2001,410130,2001,1,7561,Antônio Olinto,Antônio Olinto,13.2257637878587
410130_2002,410130,2002,0,7553,Antônio Olinto,Antônio Olinto,0
410130_2003,410130,2003,1,7545,Antônio Olinto,Antônio Olinto,13.2538104705103
410130_2004,410130,2004,0,7538,Antônio Olinto,Antônio Olinto,0
410130_2005,410130,2005,2,7531,Antônio Olinto,Antônio Olinto,26.5568981542956
410130_2006,410130,2006,1,7524,Antônio Olinto,Antônio Olinto,13.290802764487
410130_2007,410130,2007,0,7517,Antônio Olinto,Antônio Olinto,0
410130_2008,410130,2008,0,7511,Antônio Olinto,Antônio Olinto,0
410130_2009,410130,2009,0,7504,Antônio Olinto,Antônio Olinto,0
410130_2010,410130,2010,0,7498,Antônio Olinto,Antônio Olinto,0
410130_2011,410130,2011,0,7491,Antônio Olinto,Antônio Olinto,0
410130_2012,410130,2012,0,7484,Antônio Olinto,Antônio Olinto,0
410130_2013,410130,2013,0,7477,Antônio Olinto,Antônio Olinto,0
410130_2014,410130,2014,0,7470,Antônio Olinto,Antônio Olinto,0
410130_2015,410130,2015,1,7462,Antônio Olinto,Antônio Olinto,13.401232913428
410130_2016,410130,2016,2,7455,Antônio Olinto,Antônio Olinto,26.8276324614353
410130_2017,410130,2017,1,7448,Antônio Olinto,Antônio Olinto,13.4264232008593
410130_2018,410130,2018,0,7441,Antônio Olinto,Antônio Olinto,0
410130_2019,410130,2019,0,7434,Antônio Olinto,Antônio Olinto,0
410130_2020,410130,2020,0,7427,Antônio Olinto,Antônio Olinto,0
410130_2021,410130,2021,2,7421,Antônio Olinto,Antônio Olinto,26.9505457485514
410140_2001,410140,2001,21,111852,Apucarana,Apucarana,18.7748095697887
410140_2002,410140,2002,18,113355,Apucarana,Apucarana,15.8793171893609
410140_2003,410140,2003,43,114740,Apucarana,Apucarana,37.4760327697403
410140_2004,410140,2004,28,116043,Apucarana,Apucarana,24.1289866687349
410140_2005,410140,2005,29,117348,Apucarana,Apucarana,24.7128199884105
410140_2006,410140,2006,20,118621,Apucarana,Apucarana,16.8604210047125
410140_2007,410140,2007,21,119802,Apucarana,Apucarana,17.5289227224921
410140_2008,410140,2008,24,120971,Apucarana,Apucarana,19.8394656570583
410140_2009,410140,2009,32,122162,Apucarana,Apucarana,26.1947250372456
410140_2010,410140,2010,15,123336,Apucarana,Apucarana,12.1618992021794
410140_2011,410140,2011,22,124602,Apucarana,Apucarana,17.6562173961895
410140_2012,410140,2012,20,125859,Apucarana,Apucarana,15.8907984331673
410140_2013,410140,2013,31,127144,Apucarana,Apucarana,24.3818033096332
410140_2014,410140,2014,17,128485,Apucarana,Apucarana,13.23111647274
410140_2015,410140,2015,18,129845,Apucarana,Apucarana,13.86268242905
410140_2016,410140,2016,19,131146,Apucarana,Apucarana,14.4876702301252
410140_2017,410140,2017,21,132427,Apucarana,Apucarana,15.8577933502987
410140_2018,410140,2018,28,133726,Apucarana,Apucarana,20.9383365987168
410140_2019,410140,2019,21,134996,Apucarana,Apucarana,15.5560164745622
410140_2020,410140,2020,18,136234,Apucarana,Apucarana,13.2125607410779
410140_2021,410140,2021,13,137438,Apucarana,Apucarana,9.4588105181973
410150_2001,410150,2001,13,89690,Arapongas,Arapongas,14.494369494927
410150_2002,410150,2002,14,91856,Arapongas,Arapongas,15.2412471694827
410150_2003,410150,2003,20,93851,Arapongas,Arapongas,21.3103749560474
410150_2004,410150,2004,16,95727,Arapongas,Arapongas,16.7141976662802
410150_2005,410150,2005,16,97607,Arapongas,Arapongas,16.3922669480673
410150_2006,410150,2006,13,99441,Arapongas,Arapongas,13.0730785088646
410150_2007,410150,2007,6,101141,Arapongas,Arapongas,5.93231231646909
410150_2008,410150,2008,7,102826,Arapongas,Arapongas,6.80761675062727
410150_2009,410150,2009,17,104541,Arapongas,Arapongas,16.2615624491826
410150_2010,410150,2010,11,106232,Arapongas,Arapongas,10.3546953836885
410150_2011,410150,2011,15,108056,Arapongas,Arapongas,13.88169097505
410150_2012,410150,2012,18,109866,Arapongas,Arapongas,16.3835945606466
410150_2013,410150,2013,26,111718,Arapongas,Arapongas,23.2728835102669
410150_2014,410150,2014,17,113648,Arapongas,Arapongas,14.9584682528509
410150_2015,410150,2015,19,115607,Arapongas,Arapongas,16.434990960755
410150_2016,410150,2016,38,117482,Arapongas,Arapongas,32.3453805689382
410150_2017,410150,2017,44,119326,Arapongas,Arapongas,36.8737743660225
410150_2018,410150,2018,39,121198,Arapongas,Arapongas,32.178748824238
410150_2019,410150,2019,26,123027,Arapongas,Arapongas,21.1335723052663
